year;director;genre;film;winner
1928;Lewis Milestone;comedy;Two Arabian Knights;TRUE
1928;Ted Wilde;comedy;Speedy;FALSE
1928;Frank Borzage;drama;7th Heaven;TRUE
1928;Herbert Brenon;drama;Sorrell and Son;FALSE
1928;King Vidor;drama;The Crowd;FALSE
1929;Lionel Barrymore;;Madame X;FALSE
1929;Harry Beaumont;;The Broadway Melody;FALSE
1929;Irving Cummings;;In Old Arizona;FALSE
1929;Frank Lloyd;;The Divine Lady;TRUE
1929;Frank Lloyd;;Drag;;FALSE
1929;Ernst Lubitsch;;The Patriot;FALSE
1930;Clarence Brown;;Anna Christie;;FALSE
1930;Robert Leonard;;The Divorcee;FALSE
1930;Ernst Lubitsch;;The Love Parade;FALSE
1930;Lewis Milestone;;All Quiet on the Western Front;TRUE
1930;King Vidor;;Hallelujah;FALSE
1931;Wesley Ruggles;;Cimarron;FALSE
1931;Clarence Brown;;A Free Soul;FALSE
1931;Lewis Milestone;;The Front Page;FALSE
1931;Josef Von Sternberg;;Morocco;FALSE
1931;Norman Taurog;;Skippy;TRUE
1932;Frank Borzage;;Bad Girl;TRUE
1932;King Vidor;;The Champ;FALSE
1932;Josef Von Sternberg;;Shanghai Express;FALSE
1933;Frank Lloyd;;Cavalcade;TRUE
1933;Frank Capra;;Lady for a Day;FALSE
1933;George Cukor;;Little Women;FALSE
1935;Frank Capra;;It Happened One Night;TRUE
1935;Victor Schertzinger;;One Night of Love;FALSE
1935;W. S. Van Dyke;;The Thin Man;FALSE
1936;Michael Curtiz;;Captain Blood;FALSE
1936;John Ford;;The Informer;TRUE
1936;Henry Hathaway;;The Lives of a Bengal Lancer;FALSE
1936;Frank Lloyd;;Mutiny on the Bounty;FALSE
1937;William Wyler;;Dodsworth;FALSE
1937;Robert Z. Leonard;;The Great Ziegfeld;FALSE
1937;Frank Capra;;Mr. Deeds Goes to Town;TRUE
1937;Gregory La Cava;;My Man Godfrey;FALSE
1937;W. S. Van Dyke;;San Francisco;FALSE
1938;Leo McCarey;;The Awful Truth;TRUE
1938;Sidney Franklin;;The Good Earth;FALSE
1938;William Dieterle;;The Life of Emile Zola;FALSE
1938;Gregory La Cava;;Stage Door;FALSE
1938;William Wellman;;A Star Is Born;FALSE
1939;Michael Curtiz;;Angels with Dirty Faces;FALSE
1939;Norman Taurog;;Boys Town;FALSE
1939;King Vidor;;The Citadel;FALSE
1939;Michael Curtiz;;Four Daughters;FALSE
1939;Frank Capra;;You Can't Take It with You;TRUE
1940;Victor Fleming;;Gone with the Wind;TRUE
1940;Sam Wood;;Goodbye, Mr. Chips;FALSE
1940;Frank Capra;;Mr. Smith Goes to Washington;FALSE
1940;John Ford;;Stagecoach;FALSE
1940;William Wyler;;Wuthering Heights;FALSE
1941;John Ford;;The Grapes of Wrath;TRUE
1941;Sam Wood;;Kitty Foyle;FALSE
1941;William Wyler;;The Letter;FALSE
1941;George Cukor;;The Philadelphia Story;FALSE
1941;Alfred Hitchcock;;Rebecca;FALSE
1942;Orson Welles;;Citizen Kane;FALSE
1942;Alexander Hall;;Here Comes Mr. Jordan;FALSE
1942;John Ford;;How Green Was My Valley;TRUE
1942;William Wyler;;The Little Foxes;FALSE
1942;Howard Hawks;;Sergeant York;FALSE
1943;Sam Wood;;Kings Row;FALSE
1943;William Wyler;;Mrs. Miniver;TRUE
1943;Mervyn LeRoy;;Random Harvest;FALSE
1943;John Farrow;;Wake Island;FALSE
1943;Michael Curtiz;;Yankee Doodle Dandy;FALSE
1944;Michael Curtiz;;Casablanca;TRUE
1944;Ernst Lubitsch;;Heaven Can Wait;FALSE
1944;Clarence Brown;;The Human Comedy;FALSE
1944;George Stevens;;The More the Merrier;FALSE
1944;Henry King;;The Song of Bernadette;FALSE
1945;Billy Wilder;;Double Indemnity;FALSE
1945;Leo McCarey;;Going My Way;TRUE
1945;Otto Preminger;;Laura;FALSE
1945;Alfred Hitchcock;;Lifeboat;FALSE
1945;Henry King;;Wilson;FALSE
1946;Leo McCarey;;The Bells of St. Mary's;FALSE
1946;Billy Wilder;;The Lost Weekend;TRUE
1946;Clarence Brown;;National Velvet;FALSE
1946;Jean Renoir;;The Southerner;FALSE
